Name: FIRES_EXTINGUISHED, Hash: D1A40F3E
Name: DISCOVERED_HIDDEN_PACKAGES, Hash: FA299490
Name: MPPLY_GLOBALXP, Hash: 53B93CF2
Name: MPPLY_TOTAL_EVC, Hash: 952CAD80
Name: MPPLY_TOTAL_SVC, Hash: 0D792D57
Name: MPPLY_KILLS_PLAYERS, Hash: FA0BBE94
Name: MPPLY_DEATHS_PLAYER, Hash: 7F4EBECC
Name: MPPLY_KILL_DEATH_RATIO, Hash: 5A1686FC
Name: MPPLY_CHAR_DIST_TRAVELLED, Hash: 0CF7A5B4
Name: MPPLY_MOST_FAVORITE_STATION, Hash: 38ACE151
Name: MP_PLAYING_TIME, Hash: 60F37B8E
Name: MPPLY_TOTAL_TIME_SPENT_DEATHMAT, Hash: D6557025
Name: MPPLY_TOTAL_TIME_SPENT_RACES, Hash: C1DD4DFC
Name: MPPLY_TOTAL_TIME_MISSION_CREATO, Hash: 42A341E2
Name: MPPLY_AWD_FM_CR_DM_MADE, Hash: 69D793C2
Name: MPPLY_AWD_FM_CR_RACES_MADE, Hash: 1BA823A0
Name: MPPLY_NUM_CAPTURES_CREATED, Hash: F2A3DFD9
Name: MPPLY_AWD_FM_CR_PLAYED_BY_PEEP, Hash: 2525403F
Name: MPPLY_FM_MISSION_LIKES, Hash: A2987FB7
Name: STAMINA, Hash: 920764EA
Name: SHOOTING_ABILITY, Hash: 2C5E7A3D
Name: STRENGTH, Hash: 1958257C
Name: STEALTH_ABILITY, Hash: A65F04AD
Name: FLYING_ABILITY, Hash: 7E7FA403
Name: WHEELIE_ABILITY, Hash: E00C633A
Name: LUNG_CAPACITY, Hash: BC4556DD
Name: TOTAL_PLAYING_TIME, Hash: 576AA7F0
Name: CHAR_DATE_CREATED, Hash: 83487190
Name: CHAR_DATE_RANKUP, Hash: A0181DC6
Name: LONGEST_PLAYING_TIME, Hash: 6CA120C5
Name: AVERAGE_TIME_PER_SESSON, Hash: CE9E27B7
Name: DEATHS, Hash: 1C5A5199
Name: DIED_IN_EXPLOSION, Hash: 4C0D900A
Name: DIED_IN_FALL, Hash: BADAF577
Name: DIED_IN_FIRE, Hash: 5BB4331F
Name: DIED_IN_ROAD, Hash: 3E2F8368
Name: DIED_IN_DROWNING, Hash: C241FC82
Name: TIME_SWIMMING, Hash: 5A24B128
Name: DIST_SWIMMING, Hash: 0E904DEE
Name: TIME_UNDERWATER, Hash: 32EA2C61
Name: TIME_WALKING, Hash: 315F27D7
Name: DIST_WALKING, Hash: E6832BA4
Name: DIST_RUNNING, Hash: B90070A3
Name: LONGEST_SURVIVED_FREEFALL, Hash: 24D8FF4E
Name: TIME_IN_COVER, Hash: 430013A4
